"Season","League","BBRef_Team_Name","BBRef_Team_Abbreviation","Current_BBRef_Team_Name","Current_BBRef_Team_Abbreviation","ESPN_Current_Link_ID","NBA_Current_Link_ID","Spotrac_Current_Link_ID"
2019,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2018,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2017,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2016,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2015,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2014,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2013,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2012,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2011,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2010,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2009,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2008,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2007,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2006,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2005,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2004,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2003,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2002,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2001,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2000,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1999,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1998,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1997,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1996,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1995,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1994,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1993,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1992,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1991,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1990,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1989,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1988,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1987,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1986,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1985,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1984,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1983,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1982,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1981,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1980,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1979,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1978,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1977,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1976,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1975,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1974,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1973,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1972,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1971,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1970,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1969,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1968,"NBA","Atlanta Hawks","ATL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1967,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1966,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1965,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1964,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1963,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1962,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1961,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1960,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1959,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1958,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1957,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1956,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1955,"NBA","St. Louis Hawks","STL","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1954,"NBA","Milwaukee Hawks","MLH","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1953,"NBA","Milwaukee Hawks","MLH","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1952,"NBA","Milwaukee Hawks","MLH","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1951,"NBA","Milwaukee Hawks","MLH","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1950,"NBA","Tri-Cities Blackhawks","TRI","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
1949,"NBA","Tri-Cities Blackhawks","TRI","Atlanta Hawks","ATL","ATL",1610612737,"atlanta-hawks"
2019,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2018,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2017,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2016,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2015,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2014,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2013,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2012,"NBA","Brooklyn Nets","BRK","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2011,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2010,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2009,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2008,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2007,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2006,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2005,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2004,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
2003,"NBA","New Jersey Nets","NJN","Brooklyn Nets","BRK","BKN",1610612751,"brooklyn-nets"
